Code_dot,Code_iata,City_name,Airport_name
13308.0,MII,"Marilia, Brazil",Frank Miloye Milenkovich
13309.0,MIJ,"Mili, Marshall Islands",Mili Airport
13310.0,MIK,"Mikkeli, Finland",Mikkeli Airport
13311.0,MIL,"Milan, Italy",Milan Metropolitan Area
13312.0,MIM,"Merimbula, Australia",Merimbula Airport
13313.0,MIN,"Minnipa, Australia",Minnipa Airport
13314.0,MIO,"Miami, OK",Miami Regional
13315.0,MIP,"Mitspeh Ramon, Israel",Har Arikha
13316.0,MIQ,"Omaha, NE",Millard
13317.0,MIR,"Monastir, Tunisia",Habib Bourguiba International
13318.0,MIS,"Misima Island, Papua New Guinea",Misima
13319.0,MIT,"Shafter, CA",Shafter - Minter Field
13320.0,MIU,"Maiduguri, Nigeria",Maiduguri Airport
13321.0,MIV,"Millville, NJ",Millville Municipal
13322.0,MIW,"Marshalltown, IA",Marshalltown Municipal
13323.0,MIX,"Miriti, Colombia",Miriti Pirana
13324.0,MIZ,"Mainoru, Australia",Mainoru Airport
13325.0,MJA,"Manja, Madagascar",Manja Airport
13326.0,MJB,"Mejit Island, Marshall Islands",Mejit
13327.0,MJC,"Man, Cote d'Ivoire",Man Airport
13328.0,MJD,"Moenjodaro, Pakistan",Moenjodaro Airport
13329.0,MJF,"Mosjoen, Norway",Kjaerstad
13330.0,MJG,"Mayajigua, Cuba",Mayajigua Airport
13331.0,MJI,"Mitiga, Libya",Mitiga International
13332.0,MJL,"Mouila, Gabon",Mouila Airport
13333.0,MJM,"Mbuji-Mayi, Congo (Kinshasa)",Mbuji Mayi
13334.0,MJN,"Majunga, Madagascar",Philibert Tsiranana
13335.0,MJQ,"Jackson, MN",Jackson Airport
13336.0,MJT,"Mytilene, Greece",Mitilini
13337.0,MJV,"Murcia, Spain",Murcia San Javier
13338.0,MJX,"Toms River, NJ",Ocean County
13339.0,MJZ,"Mirny, Russia",Mirny Airport
13340.0,MKA,"Marianske Lazne, Czech Republic",Marianske Lazne Airport
13341.0,MKC,"Kansas City, MO",Charles B. Wheeler Downtown
13342.0,MKE,"Milwaukee, WI",General Mitchell International
13344.0,MKG,"Muskegon, MI",Muskegon County
13345.0,MKI,"Obo Mboki, Central African Republic",Obo Mboki Airport
13346.0,MKJ,"Makoua, Congo (Brazaville)",Makoua Airport
13347.0,MKK,"Hoolehua, HI",Molokai
13348.0,MKL,"Jackson, TN",McKellar-Sipes Regional
13349.0,MKM,"Mukah, Malaysia",Mukah Airport
16948.0,MKN,"Comanche, TX",Comanche County City
13350.0,MKO,"Muskogee, OK",Muskogee Davis Regional
13351.0,MKP,"Makemo, French Polynesia",Makemo Airport
13352.0,MKR,"Meekatharra, Australia",Meekatharra Airport
13353.0,MKS,"Mekane Selam, Ethiopia",Mekane Selam Airport
13354.0,MKT,"Mankato, MN",Mankato Regional
13355.0,MKU,"Makokou, Gabon",Makokou Airport
13356.0,MKW,"Manokwari, Indonesia",Rendani
13357.0,MKY,"Mackay, Australia",Mackay Airport
13358.0,MKZ,"Malacca, Malaysia",Malacca Airport
13359.0,MLA,"Malta, Malta",Luqa International
13360.0,MLB,"Melbourne, FL",Melbourne Orlando International
13361.0,MLC,"McAlester, OK",McAlester Regional
13362.0,MLD,"Malad City, ID",Malad City Airport
13363.0,MLE,"Male, Maldives",Velana International
13364.0,MLF,"Milford, UT",Milford Municipal/Ben and Judy Briscoe Field
13365.0,MLG,"Malang, Indonesia",Abdul Rachman Saleh
13367.0,MLI,"Moline, IL",Quad Cities International
16976.0,MLJ,"Milledgeville, GA",Baldwin County Regional
13368.0,MLK,"Malta, MT",Malta Airport
13369.0,MLL,"Marshall, AK",Marshall Don Hunter Sr.
13370.0,MLM,"Morelia, Mexico",Morelia International
13371.0,MLN,"Melilla, Spain",Melilla Airport
13372.0,MLO,"Milos, Greece",Milos Airport
13373.0,MLP,"Malabang, Philippines",Malabang Airport
13374.0,MLQ,"Malalaua, Papua New Guinea",Malalaua Airport
13375.0,MLS,"Miles City, MT",Frank Wiley Field
13376.0,MLT,"Millinocket, ME",Millinocket Municipal
13377.0,MLU,"Monroe, LA",Monroe Regional
13378.0,MLV,"Merluna, Australia",Merluna Airport
13379.0,MLW,"Monrovia, Liberia",Monrovia Spriggs Payne
13380.0,MLX,"Malatya, Turkey",Malatya Airport
13381.0,MLY,"Manley Hot Springs, AK",Manley Hot Springs Airport
13382.0,MLZ,"Melo, Uruguay",Melo Airport
13383.0,MMA,"Malmo, Sweden",Malmo Metropolitan Area
13384.0,MMB,"Memanbetsu, Japan",Memanbetsu Airport
13385.0,MMC,"Ciudad Mante, Mexico",Cuauhtemoc
13386.0,MMD,"Minami Daito, Japan",Minami Daito Airport
13387.0,MME,"Darlington, United Kingdom",Teesside International
13388.0,MMH,"Mammoth Lakes, CA",Mammoth Lakes Airport
13389.0,MMI,"Athens, TN",McMinn County
13390.0,MMJ,"Matsumoto, Japan",Matsumoto Airport
13391.0,MMK,"Murmansk, Russia",Murmansk Airport
13392.0,MML,"Marshall, MN",Southwest Minnesota Regional-Marshall/Ryan Field
13393.0,MMM,"Middlemount, Australia",Middlemount Airport
13394.0,MMN,"Stow, MA",Minute Man Air Field
13395.0,MMP,"Mompos, Colombia",Mompos Airport
13396.0,MMQ,"Mbala, Zambia",Mbala Airport
13397.0,MMT,"Columbia, SC",McEntire Jngb
13398.0,MMU,"Morristown, NJ",Morristown Municipal
13399.0,MMX,"Malmo, Sweden",Malmo Airport
13400.0,MMY,"Miyakojima, Japan",Miyako
