source,target
 8474774, 8475793
 8469492, 8475793
8476432, 8475793
 8474685, 8475793
8476235, 8470598
8476235, 8475745
8476235, 8467917
8476235, 8470600
 8470598, 8475745
 8470598, 8467917
 8470598, 8470600
 8475745, 8467917
 8475745, 8470600
 8467917, 8470600
8474600, 8470642
8474600, 8467371
8474600, 8473537
8474600, 8476887
 8470642, 8467371
 8470642, 8473537
 8470642, 8476887
 8467371, 8473537
 8467371, 8476887
 8473537, 8476887
8475714, 8464989
8475714, 8474600
8475714, 8470642
8475714, 8473537
 8464989, 8474600
 8464989, 8470642
 8464989, 8473537
 8474600, 8470642
 8474600, 8473537
8475745, 8476856
8475745, 8475799
8475745, 8473485
8475745, 8470600
 8476856, 8475799
 8476856, 8473485
 8476856, 8470600
 8475799, 8473485
 8475799, 8470600
 8473485, 8470600
8476856, 8475798
8476856, 8470600
8476856, 8470610
 8475798, 8470600
 8475798, 8470610
 8470600, 8470610
8474641, 8476457
8474641, 8472382
 8467351, 8476457
 8467351, 8472382
 8470609, 8476457
 8470609, 8472382
 8476457, 8472382
8474641, 8476923
 8467351, 8476923
 8470609, 8476923
 8476923, 8475750
8469547, 8467899
8469547, 8471233
8469547, 8475199
8469547, 8471748
 8467899, 8475199
 8467899, 8471748
 8471233, 8475199
 8471233, 8471748
 8475199, 8471748
8475728, 8477499
 8470852, 8477499
 8477499, 8474589
 8477499, 8467407
8471217, 8476460
8471217, 8470828
 8473412, 8476460
 8473412, 8470828
8474218, 8467396
8474218, 8473994
8474218, 8469455
8474218, 8474818
 8467396, 8469455
 8473994, 8469455
 8469455, 8474818
8471385, 8469531
8471385, 8476392
8471385, 8469501
8471385, 8473564
 8469531, 8476392
 8469531, 8469501
 8469531, 8473564
 8476392, 8473564
 8469501, 8473564
8471226, 8470834
8471226, 8470614
8471226, 8476885
8471226, 8476460
 8470834, 8470614
 8470614, 8476885
 8476885, 8476460
8473412, 8471217
8473412, 8473564
8473412, 8470828
8473412, 8474574
 8471217, 8473564
 8471217, 8470828
 8471217, 8474574
 8473564, 8470828
 8473564, 8474574
 8470828, 8474574
8476439, 8474218
8476439, 8474818
8476439, 8467423
8476439, 8473994
 8474218, 8474818
 8474218, 8467423
 8474218, 8473994
 8474818, 8467423
